timestamp,epoch,global_step,local_step,loss,avg_loss,lr,cpu_mem_gb,gpu_mem_gb,gpu_peak_mem_gb
2026-03-08_16-14-49,1,1,1,1.000001,1.000001,0.050000,13.074,12.240,12.973
2026-03-08_16-14-50,1,2,2,1.000001,1.000001,0.050000,13.074,12.253,12.973
2026-03-08_16-14-50,1,3,3,1.000001,1.000001,0.050000,13.074,13.476,12.973
2026-03-08_16-14-50,1,4,4,1.000001,1.000001,0.050000,13.076,13.476,12.973
2026-03-08_16-14-51,1,5,5,1.000006,1.000002,0.050000,13.076,14.743,12.973
2026-03-08_16-14-51,1,6,6,1.000006,1.000002,0.050000,13.076,14.743,12.973
2026-03-08_16-14-51,1,7,7,1.000007,1.000003,0.050000,13.076,14.743,12.973
2026-03-08_16-14-52,1,8,8,1.000007,1.000004,0.050000,13.076,14.745,12.973
2026-03-08_16-14-52,1,9,9,1.000007,1.000004,0.050000,13.076,14.745,12.973
2026-03-08_16-14-52,1,10,10,1.000008,1.000004,0.050000,13.076,14.745,12.973
2026-03-08_16-14-53,1,11,11,1.000008,1.000005,0.050000,13.076,14.747,12.973
2026-03-08_16-14-53,1,12,12,1.000009,1.000005,0.050000,13.076,14.747,12.973
2026-03-08_16-14-54,1,13,13,1.000009,1.000005,0.050000,13.076,14.748,12.973
2026-03-08_16-14-54,1,14,14,1.000009,1.000006,0.050000,13.076,14.748,12.973
2026-03-08_16-14-54,1,15,15,1.000009,1.000006,0.050000,13.076,14.748,12.973
2026-03-08_16-14-55,1,16,16,1.000010,1.000006,0.050000,13.076,14.748,12.973
2026-03-08_16-14-55,1,17,17,1.000010,1.000006,0.050000,13.076,14.749,12.973
2026-03-08_16-14-55,1,18,18,1.000011,1.000007,0.050000,13.076,14.750,12.973
2026-03-08_16-14-56,1,19,19,1.000011,1.000007,0.050000,13.076,16.053,12.973
2026-03-08_16-14-56,1,20,20,1.000012,1.000007,0.050000,13.076,16.053,12.973
2026-03-08_16-14-57,1,21,21,1.000013,1.000007,0.050000,13.076,16.054,12.973
2026-03-08_16-14-57,1,22,22,1.000013,1.000008,0.050000,13.076,16.054,12.973
2026-03-08_16-14-57,1,23,23,1.000013,1.000008,0.050000,13.076,16.054,12.973
2026-03-08_16-14-58,1,24,24,1.000014,1.000008,0.050000,13.076,16.052,12.973
2026-03-08_16-14-58,1,25,25,1.000014,1.000008,0.050000,13.076,16.052,12.973
2026-03-08_16-14-59,1,26,26,1.000015,1.000009,0.050000,13.076,16.049,12.973
2026-03-08_16-14-59,1,27,27,1.000015,1.000009,0.050000,13.076,16.049,12.973
2026-03-08_16-14-59,1,28,28,1.000016,1.000009,0.050000,13.076,16.049,12.973
2026-03-08_16-14-59,1,29,29,1.000016,1.000009,0.050000,13.076,16.049,12.973
2026-03-08_16-15-00,1,30,30,1.000017,1.000010,0.050000,13.076,16.050,12.973
2026-03-08_16-15-00,1,31,31,1.000017,1.000010,0.050000,13.076,16.050,12.973
2026-03-08_16-15-01,1,32,32,1.000017,1.000010,0.050000,13.076,16.051,12.973
2026-03-08_16-15-01,1,33,33,1.000017,1.000010,0.050000,13.076,16.051,12.973
2026-03-08_16-15-01,1,34,34,1.000018,1.000010,0.050000,13.076,16.050,12.973
2026-03-08_16-15-02,1,35,35,1.000018,1.000011,0.050000,13.076,16.049,12.973
2026-03-08_16-15-02,1,36,36,1.000018,1.000011,0.050000,13.076,16.049,12.973
2026-03-08_16-15-02,1,37,37,1.000019,1.000011,0.050000,13.076,16.048,12.973
2026-03-08_16-15-02,1,38,38,1.000019,1.000011,0.050000,13.076,16.048,12.973
2026-03-08_16-15-02,1,39,39,1.000019,1.000011,0.050000,13.076,16.048,12.973
2026-03-08_16-15-03,1,40,40,1.000020,1.000012,0.050000,13.076,16.046,12.973
2026-03-08_16-15-03,1,41,41,1.000020,1.000012,0.050000,13.076,16.046,12.973
2026-03-08_16-15-04,1,42,42,1.000020,1.000012,0.050000,13.076,16.046,12.973
2026-03-08_16-15-04,1,43,43,1.000021,1.000012,0.050000,13.076,16.046,12.973
2026-03-08_16-15-04,1,44,44,1.000021,1.000012,0.050000,13.076,16.046,12.973
2026-03-08_16-15-04,1,45,45,1.000021,1.000013,0.050000,13.076,16.046,12.973
2026-03-08_16-15-05,1,46,46,1.000022,1.000013,0.050000,13.076,16.046,12.973
2026-03-08_16-15-05,1,47,47,1.000022,1.000013,0.050000,13.076,16.046,12.973
2026-03-08_16-15-05,1,48,48,1.000022,1.000013,0.050000,13.076,16.049,12.973
2026-03-08_16-15-06,1,49,49,1.000022,1.000013,0.050000,13.076,17.385,12.973
2026-03-08_16-15-06,1,50,50,1.000023,1.000014,0.050000,13.076,17.385,12.973
2026-03-08_16-15-07,1,51,51,1.000023,1.000014,0.050000,13.076,17.386,12.973
2026-03-08_16-15-07,1,52,52,1.000023,1.000014,0.050000,13.076,17.384,12.973
2026-03-08_16-15-07,1,53,53,1.000024,1.000014,0.050000,13.076,17.384,12.973
2026-03-08_16-15-07,1,54,54,1.000024,1.000014,0.050000,13.076,17.384,12.973
2026-03-08_16-15-08,1,55,55,1.000024,1.000015,0.050000,13.076,17.383,12.973
2026-03-08_16-15-09,1,56,56,1.000024,1.000015,0.050000,13.076,17.383,12.973
2026-03-08_16-15-09,1,57,57,1.000025,1.000015,0.050000,13.076,17.384,12.973
2026-03-08_16-15-09,1,58,58,1.000025,1.000015,0.050000,13.076,17.384,12.973
2026-03-08_16-15-09,1,59,59,1.000025,1.000015,0.050000,13.076,17.384,12.973
2026-03-08_16-15-10,1,60,60,1.000025,1.000015,0.050000,13.076,17.387,12.973
2026-03-08_16-15-10,1,61,61,1.000026,1.000016,0.050000,13.076,17.387,12.973
2026-03-08_16-15-10,1,62,62,1.000026,1.000016,0.050000,13.076,17.387,12.973
2026-03-08_16-15-11,1,63,63,1.000026,1.000016,0.050000,13.076,17.379,12.973
2026-03-08_16-15-11,1,64,64,1.000026,1.000016,0.050000,13.076,17.376,12.973
2026-03-08_16-15-11,1,65,65,1.000026,1.000016,0.050000,13.076,17.376,12.973
2026-03-08_16-15-11,1,66,66,1.000026,1.000016,0.050000,13.076,17.376,12.973
2026-03-08_16-15-12,1,67,67,1.000027,1.000017,0.050000,13.076,17.376,12.973
2026-03-08_16-15-12,1,68,68,1.000027,1.000017,0.050000,13.076,17.376,12.973
2026-03-08_16-15-13,1,69,69,1.000027,1.000017,0.050000,13.076,17.376,12.973
2026-03-08_16-15-13,1,70,70,1.000027,1.000017,0.050000,13.076,17.376,12.973
2026-03-08_16-15-13,1,71,71,1.000027,1.000017,0.050000,13.076,17.376,12.973
2026-03-08_16-15-14,1,72,72,1.000027,1.000017,0.050000,13.076,17.376,12.973
2026-03-08_16-15-14,1,73,73,1.000028,1.000017,0.050000,13.076,17.376,12.973
2026-03-08_16-15-14,1,74,74,1.000028,1.000018,0.050000,13.076,17.375,12.973
2026-03-08_16-15-15,1,75,75,1.000028,1.000018,0.050000,13.076,17.367,12.973
2026-03-08_16-15-15,1,76,76,1.000028,1.000018,0.050000,13.076,17.362,12.973
2026-03-08_16-15-16,1,77,77,1.000028,1.000018,0.050000,13.076,17.359,12.973
2026-03-08_16-15-16,1,78,78,1.000028,1.000018,0.050000,13.076,17.359,12.973
2026-03-08_16-15-16,1,79,79,1.000028,1.000018,0.050000,13.076,17.359,12.973
