timestamp,epoch,global_step,local_step,loss,avg_loss,lr,cpu_mem_gb,gpu_mem_gb,gpu_peak_mem_gb
2026-03-07_22-15-44,1,1,1,1.000001,1.000001,0.050000,13.047,10.947,12.011
2026-03-07_22-15-44,1,2,2,1.000001,1.000001,0.050000,13.047,10.976,12.011
2026-03-07_22-15-45,1,3,3,1.000001,1.000001,0.050000,13.047,11.191,12.011
2026-03-07_22-15-45,1,4,4,1.000001,1.000001,0.050000,13.047,11.191,12.011
2026-03-07_22-15-46,1,5,5,1.000001,1.000001,0.050000,13.047,11.307,12.011
2026-03-07_22-15-46,1,6,6,1.000001,1.000001,0.050000,13.048,11.307,12.011
2026-03-07_22-15-46,1,7,7,1.000001,1.000001,0.050000,13.048,11.307,12.011
2026-03-07_22-15-46,1,8,8,1.000001,1.000001,0.050000,13.048,11.307,12.011
2026-03-07_22-15-47,1,9,9,1.000001,1.000001,0.050000,13.048,11.307,12.011
2026-03-07_22-15-47,1,10,10,1.000001,1.000001,0.050000,13.048,11.307,12.011
2026-03-07_22-15-47,1,11,11,1.000001,1.000001,0.050000,13.049,11.307,12.011
2026-03-07_22-15-48,1,12,12,1.000005,1.000001,0.050000,13.049,11.307,12.011
2026-03-07_22-15-48,1,13,13,1.000006,1.000002,0.050000,13.049,11.307,12.011
2026-03-07_22-15-49,1,14,14,1.000006,1.000002,0.050000,13.049,11.307,12.011
2026-03-07_22-15-49,1,15,15,1.000007,1.000002,0.050000,13.049,11.306,12.011
2026-03-07_22-15-49,1,16,16,1.000007,1.000003,0.050000,13.049,11.306,12.011
2026-03-07_22-15-50,1,17,17,1.000008,1.000003,0.050000,13.049,11.306,12.011
2026-03-07_22-15-50,1,18,18,1.000008,1.000003,0.050000,13.049,11.306,12.011
2026-03-07_22-15-50,1,19,19,1.000008,1.000003,0.050000,13.049,11.306,12.011
2026-03-07_22-15-51,1,20,20,1.000009,1.000004,0.050000,13.049,11.306,12.011
2026-03-07_22-15-51,1,21,21,1.000009,1.000004,0.050000,13.049,11.306,12.011
2026-03-07_22-15-51,1,22,22,1.000010,1.000004,0.050000,13.049,11.306,12.011
2026-03-07_22-15-52,1,23,23,1.000010,1.000004,0.050000,13.049,11.306,12.011
2026-03-07_22-15-52,1,24,24,1.000010,1.000005,0.050000,13.049,11.306,12.011
2026-03-07_22-15-52,1,25,25,1.000011,1.000005,0.050000,13.049,11.306,12.011
2026-03-07_22-15-53,1,26,26,1.000011,1.000005,0.050000,13.049,11.306,12.011
2026-03-07_22-15-53,1,27,27,1.000011,1.000005,0.050000,13.049,11.306,12.011
2026-03-07_22-15-54,1,28,28,1.000012,1.000006,0.050000,13.049,11.306,12.011
2026-03-07_22-15-54,1,29,29,1.000012,1.000006,0.050000,13.049,11.306,12.011
2026-03-07_22-15-54,1,30,30,1.000012,1.000006,0.050000,13.049,11.306,12.011
2026-03-07_22-15-54,1,31,31,1.000013,1.000006,0.050000,13.049,11.306,12.011
2026-03-07_22-15-55,1,32,32,1.000013,1.000006,0.050000,13.049,11.306,12.011
2026-03-07_22-15-55,1,33,33,1.000013,1.000007,0.050000,13.049,11.306,12.011
2026-03-07_22-15-56,1,34,34,1.000014,1.000007,0.050000,13.049,11.306,12.011
2026-03-07_22-15-56,1,35,35,1.000014,1.000007,0.050000,13.049,11.306,12.011
2026-03-07_22-15-56,1,36,36,1.000014,1.000007,0.050000,13.049,11.306,12.011
2026-03-07_22-15-56,1,37,37,1.000014,1.000007,0.050000,13.049,11.306,12.011
2026-03-07_22-15-57,1,38,38,1.000015,1.000008,0.050000,13.049,11.306,12.011
2026-03-07_22-15-57,1,39,39,1.000015,1.000008,0.050000,13.049,11.306,12.011
2026-03-07_22-15-57,1,40,40,1.000015,1.000008,0.050000,13.049,11.306,12.011
2026-03-07_22-15-58,1,41,41,1.000015,1.000008,0.050000,13.049,11.306,12.011
2026-03-07_22-15-58,1,42,42,1.000016,1.000008,0.050000,13.049,11.306,12.011
2026-03-07_22-15-58,1,43,43,1.000016,1.000009,0.050000,13.049,11.306,12.011
2026-03-07_22-15-59,1,44,44,1.000016,1.000009,0.050000,13.049,11.306,12.011
2026-03-07_22-15-59,1,45,45,1.000017,1.000009,0.050000,13.049,11.306,12.011
2026-03-07_22-15-59,1,46,46,1.000017,1.000009,0.050000,13.049,11.306,12.011
2026-03-07_22-16-00,1,47,47,1.000017,1.000009,0.050000,13.049,11.310,12.011
2026-03-07_22-16-00,1,48,48,1.000018,1.000009,0.050000,13.049,11.310,12.011
2026-03-07_22-16-01,1,49,49,1.000017,1.000010,0.050000,13.049,11.310,12.011
2026-03-07_22-16-01,1,50,50,1.000018,1.000010,0.050000,13.049,11.310,12.011
2026-03-07_22-16-01,1,51,51,1.000018,1.000010,0.050000,13.049,11.310,12.011
2026-03-07_22-16-01,1,52,52,1.000019,1.000010,0.050000,13.049,11.310,12.011
2026-03-07_22-16-02,1,53,53,1.000019,1.000010,0.050000,13.049,11.310,12.011
2026-03-07_22-16-02,1,54,54,1.000019,1.000010,0.050000,13.049,11.310,12.011
2026-03-07_22-16-02,1,55,55,1.000019,1.000011,0.050000,13.049,11.310,12.011
2026-03-07_22-16-03,1,56,56,1.000020,1.000011,0.050000,13.049,11.310,12.011
2026-03-07_22-16-03,1,57,57,1.000020,1.000011,0.050000,13.049,11.310,12.011
2026-03-07_22-16-04,1,58,58,1.000020,1.000011,0.050000,13.049,11.310,12.011
2026-03-07_22-16-04,1,59,59,1.000021,1.000011,0.050000,13.049,11.310,12.011
2026-03-07_22-16-04,1,60,60,1.000021,1.000011,0.050000,13.049,11.310,12.011
2026-03-07_22-16-04,1,61,61,1.000021,1.000012,0.050000,13.049,11.310,12.011
2026-03-07_22-16-05,1,62,62,1.000021,1.000012,0.050000,13.049,11.310,12.011
2026-03-07_22-16-05,1,63,63,1.000022,1.000012,0.050000,13.049,11.310,12.011
2026-03-07_22-16-05,1,64,64,1.000022,1.000012,0.050000,13.049,11.310,12.011
2026-03-07_22-16-06,1,65,65,1.000023,1.000012,0.050000,13.049,11.310,12.011
2026-03-07_22-16-06,1,66,66,1.000023,1.000012,0.050000,13.049,11.310,12.011
2026-03-07_22-16-07,1,67,67,1.000022,1.000012,0.050000,13.049,11.368,12.011
2026-03-07_22-16-07,1,68,68,1.000023,1.000013,0.050000,13.049,11.368,12.011
2026-03-07_22-16-07,1,69,69,1.000023,1.000013,0.050000,13.049,11.368,12.011
2026-03-07_22-16-08,1,70,70,1.000024,1.000013,0.050000,13.049,11.368,12.011
2026-03-07_22-16-08,1,71,71,1.000024,1.000013,0.050000,13.049,11.368,12.011
2026-03-07_22-16-08,1,72,72,1.000024,1.000013,0.050000,13.049,11.368,12.011
2026-03-07_22-16-09,1,73,73,1.000023,1.000013,0.050000,13.049,11.368,12.011
2026-03-07_22-16-09,1,74,74,1.000025,1.000014,0.050000,13.049,11.368,12.011
2026-03-07_22-16-09,1,75,75,1.000025,1.000014,0.050000,13.049,11.368,12.011
2026-03-07_22-16-10,1,76,76,1.000025,1.000014,0.050000,13.049,11.368,12.011
2026-03-07_22-16-10,1,77,77,1.000024,1.000014,0.050000,13.049,11.368,12.011
2026-03-07_22-16-10,1,78,78,1.000025,1.000014,0.050000,13.049,11.368,12.011
2026-03-07_22-16-11,1,79,79,1.000026,1.000014,0.050000,13.049,11.368,12.011
2026-03-07_22-16-11,1,80,80,1.000024,1.000014,0.050000,13.050,11.368,12.011
2026-03-07_22-16-12,1,81,81,1.000025,1.000015,0.050000,13.050,11.837,12.011
2026-03-07_22-16-12,1,82,82,1.000026,1.000015,0.050000,13.050,11.837,12.011
2026-03-07_22-16-13,1,83,83,1.000026,1.000015,0.050000,13.050,11.935,12.011
2026-03-07_22-16-13,1,84,84,1.000027,1.000015,0.050000,13.050,11.935,12.011
2026-03-07_22-16-14,1,85,85,1.000029,1.000015,0.050000,13.050,11.935,12.011
2026-03-07_22-16-14,1,86,86,1.000028,1.000015,0.050000,13.050,11.935,12.011
2026-03-07_22-16-15,1,87,87,1.000028,1.000015,0.050000,13.050,11.935,12.011
2026-03-07_22-16-15,1,88,88,1.000027,1.000016,0.050000,13.050,11.935,12.011
2026-03-07_22-16-16,1,89,89,1.000029,1.000016,0.050000,13.050,11.935,12.011
2026-03-07_22-16-16,1,90,90,1.000031,1.000016,0.050000,13.050,11.935,12.011
2026-03-07_22-16-16,1,91,91,1.000031,1.000016,0.050000,13.050,11.935,12.011
2026-03-07_22-16-17,1,92,92,1.000027,1.000016,0.050000,13.050,11.954,12.011
2026-03-07_22-16-17,1,93,93,1.000029,1.000016,0.050000,13.050,11.954,12.011
2026-03-07_22-16-18,1,94,94,1.000030,1.000016,0.050000,13.050,11.954,12.011
2026-03-07_22-16-18,1,95,95,1.000031,1.000017,0.050000,13.050,11.954,12.011
2026-03-07_22-16-19,1,96,96,1.000029,1.000017,0.050000,13.050,11.954,12.011
2026-03-07_22-16-19,1,97,97,1.000029,1.000017,0.050000,13.050,13.790,12.606
2026-03-07_22-16-20,1,98,98,1.000029,1.000017,0.050000,13.050,13.790,12.606
2026-03-07_22-16-21,1,99,99,1.000028,1.000017,0.050000,13.050,13.790,12.606
